year,month,trades,stocks,total_deployed
2020,9,19,"ADANIPOWER, BAJAJHLDNG, CHALET, DVL, ELECON, IIFLCAPS, INDIANCARD, INDOTECH, KITEX, MAHSEAMLES, MBAPL, MOTILALOFS, OBEROIRLTY, RANEHOLDIN, SHAKTIPUMP, SILGO, SUZLON, TAJGVK, V2RETAIL",14266
2020,10,21,"ADANIPOWER, BAJAJHLDNG, CHALET, ELECON, GANESHHOU, HILTON, IIFLCAPS, INDIANCARD, INDOTECH, JINDRILL, KITEX, MAHSEAMLES, MBAPL, MOTILALOFS, NILAINFRA, RANEHOLDIN, SHILPAMED, SILGO, TAJGVK, TASTYBITE, V2RETAIL",14266
2020,12,3,"CHALET, KITEX, MOTILALOFS",28531
2021,2,5,"GRSE, KITEX, KRBL, SHILPAMED, TAJGVK",31384
2021,3,1,KRBL,15692
2021,4,1,SHILPAMED,15692
2021,5,1,KITEX,15692
2021,6,52,"ACE, ADANIPOWER, AMJLAND, ANUP, ARROWGREEN, BAJAJHLDNG, BIRLAMONEY, BSE, CGCL, CHALET, CONFIPET, DVL, EIMCOELECO, ELECON, GANESHHOU, GENUSPOWER, GEOJITFSL, GRSE, HBLENGINE, HILTON, IIFLCAPS, INDIANCARD, INDOTECH, JINDRILL, JSWENERGY, JUBLFOOD, KITEX, KRBL, KRISHANA, LLOYDSENGG, MAHSEAMLES, MBAPL, MOTILALOFS, MUTHOOTFIN, NILAINFRA, NILASPACES, OBEROIRLTY, PRICOLLTD, RANEHOLDIN, RKFORGE, SHAKTIPUMP, SHILPAMED, SILGO, SKMEGGPROD, SUNFLAG, SUZLON, TAJGVK, TARIL, TASTYBITE, THANGAMAYL, UTIAMC, V2RETAIL",15692
2021,7,1,SILGO,15692
2021,8,4,"GRSE, SILGO, TAJGVK, V2RETAIL",15692
2021,9,4,"NILAINFRA, NILASPACES, RANEHOLDIN, SILGO",15692
2021,11,4,"NILASPACES, RANEHOLDIN, SILGO, TASTYBITE",31384
2021,12,1,TASTYBITE,15692
2022,2,10,"EIMCOELECO, JUBLFOOD, KRBL, RANEHOLDIN, SHAKTIPUMP, SHILPAMED, SILGO, SKMEGGPROD, TASTYBITE, UTIAMC",34523
2022,3,1,MUTHOOTFIN,17261
2022,4,1,GEOJITFSL,17261
2022,5,1,AMJLAND,17261
2022,6,2,"ACE, SHAKTIPUMP",17261
2022,7,1,MUTHOOTFIN,17261
2022,8,1,ARROWGREEN,17261
2022,9,1,SILGO,17261
2022,10,1,SILGO,17261
2022,11,1,SILGO,17261
2022,12,2,"KITEX, SHILPAMED",17261
2023,1,1,KITEX,18987
2023,2,1,SHILPAMED,18987
2023,3,2,"ADANIPOWER, JUBLFOOD",18988
2023,4,2,"BSE, EPIGRAL",18988
2023,5,1,EPIGRAL,18987
2023,6,9,"ADANIPOWER, AMJLAND, EPIGRAL, IIFLCAPS, JSWENERGY, JUBLFOOD, KRBL, NILAINFRA, SILGO",18987
2023,7,4,"EPIGRAL, JUBLFOOD, KRISHANA, NILAINFRA",18987
2023,8,3,"EPIGRAL, INDIANCARD, KRISHANA",18987
2023,10,2,"EPIGRAL, NILASPACES",37975
2023,12,6,"AETHER, EPIGRAL, HILTON, KRBL, MBAPL, TAJGVK",37975
2024,1,1,HILTON,20886
2024,2,1,MOTILALOFS,20886
2024,3,1,JUBLFOOD,20886
2024,4,1,KRBL,20886
2024,5,1,HILTON,20886
2024,6,1,KRBL,20886
2024,7,1,MBAPL,20886
2024,8,10,"CGCL, GATEWAY, HILTON, INTLCONV, JINDRILL, KRBL, KRISHANA, MAHSEAMLES, MBAPL, SKMEGGPROD",20886
2024,9,12,"CGCL, CONFIPET, DATAPATTNS, GATEWAY, HILTON, JINDRILL, KRBL, KRISHANA, MAHSEAMLES, MBAPL, SKMEGGPROD, TAJGVK",20886
2024,10,1,GATEWAY,20886
2024,11,1,CGCL,20886
2024,12,1,GATEWAY,20886
2025,1,1,CONFIPET,22975
2025,2,2,"INTLCONV, KRBL",22975
2025,3,1,RKFORGE,22975
2025,4,1,HILTON,22975
2025,5,1,AETHER,22975
2025,6,1,AETHER,22975
2025,7,24,"ACE, AETHER, ANUP, BIRLAMONEY, CONFIPET, DVL, GANESHHOU, GATEWAY, GEOJITFSL, GRWRHITECH, HILTON, INDIANCARD, INDOTECH, JINDRILL, JSWENERGY, JUBLFOOD, KAYNES, KIRLPNU, NILAINFRA, OBEROIRLTY, PRICOLLTD, RKFORGE, SHAKTIPUMP, THANGAMAYL",22975
2025,8,1,ACE,22975
2025,9,1,ANUP,22975
2025,10,2,"JUBLFOOD, MAHSEAMLES",22975
2025,11,2,"JUBLFOOD, MAHSEAMLES",22975
2025,12,1,EPIGRAL,22975
2026,1,1,KAYNES,25272
2026,2,5,"ACE, ELECON, MAHSEAMLES, RANEHOLDIN, SHILPAMED",25272
2026,3,1,JINDRILL,25272
2026,4,1,TAJGVK,25272
